0,1,2,3,4,5,6,7,8,9,10,11,table_id,table_page
203,-,"01-06-
2023","Grodzisk 
Mazowiec
ki","01-06-
2023","31-05-
2023","Gmina Grodzisk 
Mazowiecki 
 
Platforma 
Obywatelska RP","Paweł Burzyk 
Jan Grabiec",najem lokalu,"369,07 
miesięcznie",negocjacje,-,45,45
204,Aneks nr 2,"02-06-
2023",Sopot,"04-06-
2023","04-06-
2023","AutoComfort 
Platforma 
Obywatelska RP","Tomasz 
Gałązka 
Jan Grabiec","usługa 
transportowa","zmiana 
kwoty na 
52164,00",negocjacie,-,45,45
205,-,"02-06-
2023",Warszawa,"02-06-
2023","czas 
nieokreślo
ny","Multinewsroom  
Jan 
Domaniewski 
 
 
Platforma 
Obywatelska RP","Jan 
Domaniewski 
Jan Grabiec","redakcja i 
skład 
newslettera","615,00",negocjacje,-,45,45
206,"108246822
5","04-06-
2023",Warszawa,"04-06-
2023","04-06-
2023","Powszechny 
Zakład 
Ubezpieczeń 
S.A. 
 
Platforma 
Obywatelska RP","Anna Foks 
 
 
Jan Grabiec","ubezpieczenie 
OC 
organizatora","1167,81",negocjacje,-,45,45
207,-,"04-06-
2023",Toruń,"04-06-
2023","04-06-
2023","Arriva Bus 
Transport Polska 
sp.zo.o. 
Platforma 
Obywatelska RP","Daniel 
Maciejak 
Rafał Ładziak 
Jan Grabiec","Wynajem 
autobusów z 
kierowcą","12000,00",negocjacje,-,45,45
208,"360725/23
/H1/KK","06-06-
2023",Warszawa,"12-06-
2023","21-06-
2023","Polsat Media 
sp.zo.o. 
 
 
Platforma 
Obywatelska RP","Weronika 
Olejnik 
Katarzyna 
Tomczuk 
 
Jan Grabiec",emisja spotów,"73939,78",negocjacje,-,46,46
209,"230638104
/2023/TV
N","06-06-
2023",Warszawa,"14-06-
2023","14-06-
2023","TVN Media 
Sp.zo.o. 
 
 
Platforma 
Obywatelska RP","Monika 
Granecka 
Hubert 
Niewiadomski 
 
 
 
Jan Grabiec",emisja spotu,"15588,16",negocjacje,-,46,46
210,"230637802
/2023/TV
N 24","07-06-
2023",Warszawa,"14-06-
2023","14-06-
2023","TVN Media 
Sp.zo.o. 
 
 
Platforma 
Obywatelska RP","Monika 
Granecka 
Hubert 
Niewiadomski 
 
 
 
Jan Grabiec",emisja spotu,"149771,81",negocjacje,-,46,46
211,-,"07-06-
2023",Warszawa,"07-06-
2023","Czas 
nieokreślo
ny","New Voice 
Sp.zo.o. 
 
Platforma 
Obywatelska RP","Andrzej 
Szumlas 
 
 
 
Jan Grabiec","przygotowani
e filmów",-,negocjacje,-,46,46
212,1,"07-06-
2023",Warszawa,"07-06-
2023","19-07-
2023","New Voice 
Sp.zo.o. 
 
 
 
Platforma 
Obywatelska RP","Andrzej 
Szumlas 
 
 
Jan Grabiec","przygotowani
e filmu","43050,00",negocjacje,-,46,46
213,-,"07-06-
2023",Warszawa,"07-06-
2023","czas 
nieokreślo
ny","Multinewsroom  
Jan 
Domaniewski 
 
 
Platforma 
Obywatelska RP","Jan 
Domaniewski 
Jan Grabiec","redakcja i 
skład 
newslettera","615,00",negocjacje,-,47,47
214,"OSIR/132
8/2023","12-06-
2023",Kłodzko,"19-06-
2023","19-06-
2023","Ośrodek Sportu i 
Rekreacji w 
Kłodzku 
Platforma 
Obywatelska RP","Bogdan 
Bachmatiuk 
Jan Grabiec",wynajem sali,"2435,40",negocjacje,-,47,47
215,-,"12-06-
2023",Warszawa,"12-06-
2023","Czas 
nieokreślo
ny","Street Media 
Sp.zo.o. 
Platforma 
Obywatelska RP","Dominik 
Morawski 
Piotr Pizoń 
Jan Grabiec","druk, montaż, 
ekspozycja 
oraz 
konserwacja",-,negocjacje,-,47,47
216,-,"13-06-
2023",Oława,"19-06-
2023","19-06-
2023","Centrum Sztuki 
w Oławie 
Platforma 
Obywatelska RP","Anna Ślipko 
Jan Grabiec",wynajem sali,"984,00",negocjacje,-,47,47
217,"RDTiMK.
7151.135.2
023","13-06-
2023","Kobierzyc
e","19-06-
2023","19-06-
2023","Gmina 
Kobierzyce 
Platforma 
Obywatelska RP","Monika 
Skórzewska 
Jan Grabiec",wynajem sali,"450,00",negocjacje,-,47,47
218,-,"14-06-
2023",Kłodzko,"19-06-
2023","19-06-
2023","Powiat Kłodzki 
Platforma 
Obywatelska RP","Maciej 
Awiżeń, 
Małgorzata 
Jędrzejewska-
Skrzpczyk 
 
Jan Grabiec",wynajem sali,"50,00",negocjacje,-,48,48
219,-,"13-06-
2023",Warszawa,"13-06-
2023","Czas 
nieokreślo
ny","Orange Polska 
S.A. 
 
 
 
Platforma 
Obywatelska RP","Sebastian Raus 
Jan Grabiec","internet 
stacjonarny","220 
/miesięcznie",negocjacje,-,48,48
220,"108291356
3","15-06-
2023",Warszawa,"16-06-
2023","16-06-
2023","Powszechny 
Zakład 
Ubezpieczeń 
S.A. 
 
 
Platforma 
Obywatelska RP","Anna Foks 
Jan Grabiec","ubezpieczenie 
OC 
organizatora","401,75",negocjacje,-,48,48
221,"DP/22/202
3/N","15-06-
2023",Warszawa,"27-06-
2023","27-06-
2023","Ursynowskie 
Centrum Kultury 
Alternatywy 
 
Platforma 
Obywatelska RP","Krzysztof 
Czubaszek 
Jan Grabiec",wynajem sali,"492,00",negocjacje,-,48,48
222,27/2023,"15-06-
2023",Orzesze,"27-06-
2023","27-06-
2023","Miejski Ośrodek 
Kultury w 
Orzeszu 
Platforma 
Obywatelska RP","Bartłomiej 
Marek, Ewa 
Warzecha 
 
 
 
Jan Grabiec",wynajem sali,"100,00",negocjacje,-,48,48
223,"A/221-
19/2023","16-06-
2023",Góra,"19-06-
2023","19-06-
2023","Dom Kultury w 
Górze 
Platforma 
Obywatelska RP","Arkadiusz 
Gustaw            
Beata Hałaś 
Jan Grabiec",wynajem sali,"61,50",negocjacje,-,49,49
224,-,"16-06-
2023",Ziębice,"19-06-
2023","19-06-
2023","Ziębickie 
Centrum Kultury 
Platforma 
Obywatelska RP","Mateusz 
Geroń 
 
 
Jan Grabiec",wynajem sali,"98,40",negocjacje,-,49,49
225,-,"16-06-
2023","Bolesławi
ec","19-06-
2023","19-06-
2023","Bolesławiecki 
Ośrodek Kultury 
 
Platforma 
Obywatelska RP","Kornel 
Filipowicz 
Jan Grabiec",wynajem sali,"1082,40",negocjacje,-,49,49
226,"500119033
76","19-06-
2023",Lublin,"01-07-
2023","30-06-
2024","Generali 
T.U.S.A. 
Platforma 
Obywatelska RP","Anna Szumska 
 
 
Jan Grabiec",polisa-lokal,"635,00",negocjacje,-,49,49
227,1/2023,"19-06-
2023",Warszawa,"19-06-
2023","30-09-
2023","ConnectTo 
Global sp. z o.o. 
Platforma 
Obywatelska RP","Jerzy 
Straszewski, 
Zuzzana 
Sprycha 
 
 
Jan Grabiec","wykonanie i 
wdrożenie 
oprogramowa
nia, opieka 
serwisowa","413 649,00",negocjacje,-,49,49
228,"108303926
3","20-06-
2023",Warszawa,"22-06-
2023","22-06-
2023","Powszechny 
Zakład 
Ubezpieczeń 
S.A. 
 
Platforma 
Obywatelska RP","Anna Foks 
 
Jan Grabiec","ubezpieczenie 
OC 
organizatora","371,99",negocjacje,-,50,50
229,"108303926
1","20-06-
2023",Warszawa,"24-06-
2023","24-06-
2023","Powszechny 
Zakład 
Ubezpieczeń 
S.A. 
 
Platforma 
Obywatelska RP","Anna Foks 
Jan Grabiec","ubezpieczenie 
OC 
organizatora","371,99",negocjacje,-,50,50
230,"05/06/202
3","22-06-
2023",Radom,"24-06-
2023","24-06-
2023","Miejskie 
Przedsiębiorstwo 
Komunikacji w 
Radomiu sp. z 
o.o. 
 
Platforma 
Obywatelska RP","Agnieszka 
Osuch 
 
 
Ilona Korlacka",przewóz osób,"6052,32",negocjacje,-,50,50
231,"197178/M
ZDA/06/2
023/02","22-06-
2023",Warszawa,"22-06-
2023","22-06-
2023","Wirtualna Polska 
Media S.A. 
Platforma 
Obywatelska RP","Maciej 
Zdanowicz 
 
 
Ilona Korlacka","emisja w 
internecie","30750,00",negocjacje,-,50,50
232,"399065/Z/
2023","22-06-
2023",Warszawa,"22-06-
2023","23-06-
2023","Ringier Axel 
Springer Polska 
sp. z o.o. 
Platforma 
Obywatelska RP","Agata 
Brewczyńska 
 
Ilona Korlacka","emisja w 
internecie","36900,00",negocjacje,-,50,50
233,"399215/Z/
2023","23-06-
2023",Warszawa,"23-06-
2023","23-06-
2023","Ringier Axel 
Springer Polska 
sp. z o.o. 
Platforma 
Obywatelska RP","Agata 
Brewczyńska 
 
Jan Grabiec","emisja w 
internecie","18450,00",negocjacje,-,51,51
234,-,"26-06-
2023",Warszawa,"23-06-
2023","26-06-
2023","Domozych 
Adam-Fly 
 
 
Platforma 
Obywatelska RP","Adam 
Domozych 
 
Jan Grabiec","materiały 
filmowe","1300,00",negocjacje,-,51,51
235,-,"27-06-
2023",Warszawa,"01-09-
2023","15-10-
2023","Cityboard Media 
sp. z o.o. 
Platforma 
Obywatelska RP","Marcin Wojda 
 
Jan Grabiec","kampania 
reklamowa","1541142,15",negocjacje,-,51,51
236,-,"27-06-
2023",Warszawa,"01-09-
2023","15-10-
2023","Mini Media sp. z 
o.o. 
 
 
Platforma 
Obywatelska RP","Marcin 
Gromnicki 
 
Jan Grabiec","kampania 
reklamowa","1273406,70",negocjacje,-,51,51
237,-,"29-06-
2023",Wrocław,"24-06-
2023","24-06-
2023","Stowarzyszenie 
Autorów Zaiks 
Platforma 
Obywatelska RP","Michał Kulig 
 
Jan Grabiec","licencja 
jedorazowa","2049,88",negocjacje,-,51,51
238,-,"30-06-
2023",Warszawa,"04-06-
2023","04-06-
2023","Stowarzyszenie 
Autorów Zaiks 
Platforma 
Obywatelska RP","Andrzej 
Moczulski 
 
Jan Grabiec","licencja 
jedorazowa","5749,02",negocjacje,-,52,52
239,-,"30-06-
2023",Kraków,"04-07-
2023","04-07-
2023","Teatr Łaźnia 
Nowa 
 
Platforma 
Obywatelska RP","Ewa 
Wolniewicz 
 
Jan Grabiec",najem sali,"1000,00",negocjacje,-,52,52
240,-,"30-06-
2023","Głogów 
Małopols
ki","30-06-
2023","04-08-
2023","Maxbudowa 
Sp.zo.o.  
Platforma  
Obyw atelska RP","Władysław 
Mikołajczyk 
Jan Grabiec","najem 
powierzchni 
pod baner","492,00",negocjacje,-,52,52
241,-,"01-07-
2023",Olecko,"01-07-
2023","31-12-
2023","Lucyna Galińska 
Platforma 
Obywatelska RP","Lucyna 
Galińska 
Jan Grabiec","n
ajem lokalu","800,00 
miesięcznie",negocjacje,-,52,52
242,MM23-08,"03-07-
2023",Warszawa,"01-04-
2023","30-11-
2023","Maciej Margas 
Platforma 
Obywatelska RP","Eric Rheims 
Jan Grabiec",licencja,"6000,00",negocjacje,-,52,52
243,Aneks nr 1,"05-07-
2023",Warszawa,"15-12-
2022","06-11-
2026","mBank S.A. 
 
Platforma 
Obywatelska RP","Ewa 
Wesołowska, 
Michał 
Drygulski 
 
Donald Tusk, 
Jan Grabiec","kredyt 
obrotowy","zmiana  
kwoty o 
3000000,00",negocjacje,-,53,53
244,-,"05-07-
2023",Warszawa,"01-09-
2023","15-10-
2023","True Story 
Media 
Platforma 
Obywatelska RP","Anna 
Gościniak 
 
Jan Grabiec","kampania 
reklamowa","439575,43",negocjacje,-,53,53
245,"24/DAK/2
023","06-07-
2023","Włocławe
k","11-07-
2023","11-07-
2023","Centrum Kultury 
Browar B. 
Platforma 
Obywatelska RP","Lidia 
Piechocka- 
Witczak 
Jan Grabiec","w
ynajem sali","295,20",negocjacje,-,53,53
246,-,"07-07-
2023",Koszalin,"14-07-
2023","14-07-
2023","Centrum Kultury 
105 
Platforma 
Obywatelska RP","Monika 
Modła, 
Grażyna 
Ostrogłowa  
 
 
Jan Grabiec","wynajem 
amfiteatru","8000,00",negocjacje,-,53,53
247,"64/23/024
6 IP/M32/J","10-07-
2023",Poznań,"16-06-
2023","16-06-
2023","Stowarzyszenie 
Autorów Zaiks 
Platforma 
Obywatelska RP","Wiesław Łataś  
 
Jan Grabiec","licencja 
jenorazowa","861,00",negocjacje,-,53,53
248,"1497/07/2
023","10-07-
2023",Koszalin,"11-07-
2023","17-07-
2023","Ad.Media 
Consulting 
Roman Biłas 
 
 
Platforma 
Obywatelska RP","Roman Biłas 
Jan Grabiec","tablice 
reklamowe","12509,10",negocjacje,-,54,54
249,-,"10-07-
2023",Warszawa,"11-07-
2023",,"Morten Hepi sp. 
z o.o. 
 
 
Platforma 
Obywatelska RP","Michał 
Nowosielski 
 
 
 
Jan Grabiec","realizacja 
filmu","22140,00",negocjacje,-,54,54
250,"RIDO 
6564 
23/23/036
9 IP/M32/J","10-07-
2023",Wrocław,"22-06-
2023","22-06-
2023","Stowarzyszenie 
Autorów Zaiks 
 
 
Platforma 
Obywatelska RP","Michał Kulig 
 
Jan Grabiec","licencja 
jenorazowa","239,32",negocjacje,-,54,54
251,-,"11-07-
2023",Warszawa,"01-09-
2023","15-10-
2023","True Story 
Media 
Platforma 
Obywatelska RP","Anna 
Gościniak 
 
Jan Grabiec","kampania 
reklamowa","1435327,39",negocjacje,-,54,54
252,-,"12-07-
2023",Warszawa,"12-07-
2023","czas 
nieokreślo
ny","Albo/Albo sp. z 
o.o. sp.k. 
Platforma 
Obywatelska RP","Agata Maria 
Twardowska 
 
Jan Grabiec","umowa 
ramowa-
projekty 
graficzne, 
obsługa 
copywriterska",-,negocjacje,-,54,54
253,7/2023,"12-07-
2023","Kołobrze
g","14-07-
2023","14-07-
2023","Regionalne 
Centrum Kultury 
 
Platforma 
Obywatelska RP","Tadeusz 
Kielar, 
Katarzyna 
Boryczko 
 
Anabelle 
Marcińczak","najem 
powierzchni 
na słupach 
ogłoszeniowo
-reklamowych","104,55",negocjacje,-,55,55
254,-,"13-07-
2023",Warszawa,"10-07-
2023","13-07-
2023","Domozych 
Adam-Fly 
 
 
Platforma 
Obywatelska RP","Adam 
Domozych 
 
Jan Grabiec","materiały 
filmowe","2200,00",negocjacje,-,55,55
255,6/2023,"19-07-
2023","Mińsk 
Mazowiec
ki","26-07-
2023","26-07-
2023","Miejska 
Biblioteka 
Publiczna 
 
Platforma 
Obywatelska RP","Karolina 
Wieczorek 
Jan Grabiec",wynajem sali,"600,00",negocjacje,-,55,55
256,-,"21-07-
2023",Ostróda,"27-07-
2023","27-07-
2023","Centrum Kultury 
Platforma 
Obywatelska RP","Rafał 
Bykowski 
 
 
 
Jan Grabiec","wynajem 
amfiteatru","4920,00",negocjacje,-,55,55
257,-,"24-07-
2023",Olsztyn,"27-07-
2023","27-07-
2023","GROM sp. z o.o. 
Platforma 
Obywatelska RP","Tobiasz 
Gieryk 
 
 
 
Jan Grabiec","usługa 
ochrony","2460,00",negocjacje,-,55,55
258,"RDTiMK.
7151.156.2
023","24-07-
2023","Kobierzyc
e","25-07-
2023","25-07-
2023","Gmina 
Kobierzyce 
Platforma 
Obywatelska RP","Ryszard 
Pacholik 
Jan Grabiec","najem 
pomieszczeni
a","450,00",negocjacje,-,56,56
259,-,"24-07-
2023",Warszawa,"01-05-
2023","30-06-
2023","RIL Rafał Lipka 
Platforma 
Obywatelska RP","Rafał Lipka 
Jan Grabiec","materiały 
graficzne","16644,36",negocjacje,-,56,56
260,-,"28-07-
2023",Warszawa,"13-07-
2023","26-07-
2023","Domozych 
Adam-Fly 
 
 
Platforma 
Obywatelska RP","Adam 
Domozych 
 
Jan Grabiec","materiały 
filmowe","4500,00",negocjacje,-,56,56
261,14/2023,"01-08-
2023",Ustroń,"04-08-
2023","04-08-
2023","Miejski Dom 
Kultury 
„PRAŻAKÓWK
A” 
 
Platforma 
Obywatelska RP","Urszula 
Broda-
Gawełek 
 
Jan Grabiec","najem 
amfiteatru","4305,00",negocjacje,-,56,56
262,-,"01-08-
2023",Warszawa,"01-07-
2023","31-07-
2023","RIL Rafał Lipka 
Platforma 
Obywatelska RP","Rafał Lipka 
Jan Grabiec","materiały 
graficzne","9181,95",negocjacje,-,56,56
263,"CPU 
U/11/2023","02-08-
2023",Goleszów,"04-08-
2023","04-08-
2023","Ryszard 
Cienciała 
Protection 
Services 
 
Platforma 
Obywatelska RP","Ryszard 
Cienciała 
Jan Grabiec","usługa 
ochrony","1180,80",negocjacje,-,57,57
264,-,"03-08-
2023","Szklarska 
Poręba","05-08-
2023","05-08-
2023","Gmina Szklarska 
Poręba 
 
Platforma 
Obywatelska RP","Zbigniew 
Misiuk 
Jan Grabiec","dzierżawa 
działki","147,60",negocjacje,-,57,57
265,"108448748
5","04-08-
2023",Warszawa,"08-08-
2023","08-08-
2023","Powszechny 
Zakład 
Ubezpieczeń 
Spółka Akcyjna 
 
Platforma 
Obywatelska RP","Anna Foks 
 
Jan Grabiec","u
bezpieczenie 
OC 
organizatora","351,16",negocjacje,-,57,57
266,-,"04-08-
2023",Poznań,"04-08-
2023","abonament 
półroczny","Agencja Makadu 
Kamil Nowotny 
Platforma 
Obywatelska RP","Kamil 
Nowotny 
 
Jan Grabiec","prace 
programistycz
ne","1107 
miesięcznie",negocjacje,-,57,57
267,"51/23/026
3 IP/M32/J","04-08-
2023",Sopot,"27-07-
2023","27-07-
2023","Stowarzyszenie 
Autorów Zaiks 
- 
 
Platforma 
Obywatelska RP","Wiesław 
Wysiecki  
 
 
Jan Grabiec","licencja 
jenorazowa","1298,57",negocjacje,-,57,57
268,"18014131-
01","07-08-
2023",Warszawa,"07-08-
2023","24 
miesiące","Canal+ Polska 
S.A. 
 
Platforma 
Obywatelska RP","Maciej 
Auguściński 
 
 
 
Piotr Drążek","usługi 
telekomunika
cyjne","65,00 
miesięcznie",negocjacje,-,58,58
269,33230387,"09-08-
2023",Szczecin,"14-07-
2023","14-07-
2023","Stowarzyszenie 
Autorów Zaiks 
Platforma 
Obywatelska RP","Dariusz 
Dubina 
 
Jan Grabiec","licencja 
jenorazowa","3693,17",negocjacje,-,58,58
270,-,"09-08-
2023",Warszawa,"09-08-
2023","zgodnie z 
art.  100 
kodeksu 
wyborczeg
o","Nowoczesna 
Incjatywa Polska 
Zieloni 
Platforma 
Obywatelska RP","Adam Szłapka 
Sławomir 
Potapowicz 
Barbara 
Nowacka 
Katarzyna 
Osowiecka 
Urszula 
Zielińska 
Przemysław 
Słowik 
 
Donald Tusk 
Jan Grabiec","zawiązanie 
koalicji 
wyborczej 
„Koalicja 
Obywatelska” 
w wyborach 
do Sejmu RP 
i Senatu RP w 
2023 r.",-,"n
egocjacje",-,58,58
271,-,"10-08-
2023",Warszawa,"10-08-
2023","do dnia 
złożenia 
sprawozda
nia 
finansowe
go","KKW Koalicja 
Obywatelska PO 
.N iPL ZIELONI 
 
Platforma 
Obywatelska RP","Łukasz 
Pawełek 
Jan Grabiec","korzystanie z 
zaplecza 
biurowego","nota 
obciążeniow
a",negocjacje,-,58,58
272,"Porozumie
nie do 
umowy 
ramowej z 
dnia 
12.06.2023","14-08-
2023",Warszawa,"12-06-
2023","14-08-
2023","Street Media sp. 
z o.o.  
 
 
 
Platforma 
Obywatelska RP","Dominik 
Morawski, 
Piotr Pizoń 
 
Jan Grabiec","rozwiązanie 
umowy",-,negocjacje,-,59,59
273,"Porozumie
nie do 
umowy   z 
dnia  
27.06.2023","21-08-
2023",Warszawa,"27-06-
2023","21-08-
2023","Cityboard Media 
Sp. z o.o. 
Platforma 
Obywatelska RP","Marcin Wojda 
Jan Grabiec","rozwiązanie 
umowy",-,negocjacje,-,59,59
274,"Porozumie
nie do 
umowy   z 
dnia  
27.06.2023","21-08-
2023",Warszawa,"27-06-
2023","21-08-
2023","Media Media sp. 
z o.o. 
Platforma 
Obywatelska RP","Marcin 
Gromnicki 
Jan Grabiec","rozwiązanie 
umowy",-,negocjacje,-,59,59
275,"Porozumie
nie do 
umowy   z 
dnia  
05.07.2023","21-08-
2023",Warszawa,"05-07-
2023","21-08-
2023","True Story 
Media 
 
 
Platforma 
Obywatelska RP","Anna 
Gościniak 
Jan Grabiec","rozwiązanie 
umowy",-,negocjacje,-,59,59
276,"Porozumie
nie do 
umowy   z 
dnia  
11.05.2023","21-08-
2023",Warszawa,"11-07-
2023","21-08-
2023","True Story 
Media 
Platforma 
Obywatelska RP","Anna 
Gościniak 
 
Jan Grabiec","rozwiązanie 
umowy",-,negocjacje,-,59,59
277,"07/23/041
7","29-08-
2023",Warszawa,"04-08-
2023","04-08-
2023","Stowarzyszenie 
Autorów ZAIKS 
 
Platforma 
Obywatelska RP","Dariusz 
Dubina 
Jan Grabiec","wynagrodzeni
e autorskie","239,32",negocjacje,-,60,60
278,Aneks nr 2,"29-08-
2023",Warszawa,"15-12-
2022","04-02-
2028","mBank S.A. 
Platforma 
Obywatelska RP","Bartosz 
Byczewski, 
Aldona 
Dobrowolska 
 
Donald Tusk, 
Jan Grabiec","kredyt 
obrotowy","zmiana  
kwoty o 
7000000,00",negocjacje,-,60,60
279,-,"31-08-
2023",Warszawa,"01-08-
2023","02-08-
2023","Domozych 
Adam-Fly 
 
 
Platforma 
Obywatelska RP","Domozych 
Adam 
Jan Grabiec","materiały 
filmowe","1500,00",negocjacje,-,60,60
280,"Aneks do 
umowy na 
monitoring 
internetu z 
dnia 
30.11.2022 
r.","31-08-
2023",Warszawa,"31-08-
2023","31-10-
2023","YES WE CAN 
sp. zo.o. 
 
 
Platforma 
Obywatelska RP","Rafał 
Bojanowski 
 
Jan Grabiec","zmiana 
okresu 
trwania 
umowy",-,negocjacje,-,60,60
281,"13/23/030
3.IP/WA1/
J","01-09-
2023",Warszawa,"08-08-
2023","08-08-
2023","Stowarzyszenie 
Autorów ZAIKS 
 
 
Platforma 
Obywatelska RP","Dariusz 
Dubina 
Jan Grabiec","licencja 
jednorazowa","2029,50",negocjacje,-,61,61
282,"02/153/23/
Z/OB","07-09-
2023",Warszawa,"07-09-
2023","31-07-
2024","mBank S.A. 
 
 
Platforma 
Obywatelska RP","Aldona 
Dobrowolska 
Krzysztof 
Sznajder 
 
Donald Tusk 
Jan Grabiec","kredyt 
obrotowy","25000000,00",negocjacje,-,61,61
283,"3359/C/20
23","26-09-
2023",Warszawa,"09-10-
2023","13-10-
2023","AMS S.A. 
 
Platforma 
Obywatelska RP","Małgorzata 
Wiśniewska 
 
 
 
Jan Grabiec","e
misja reklam","8483,31",negocjacje,-,61,61
284,"3451/C/20
23","28-09-
2023",Warszawa,"01-10-
2023","15-10-
2023","AMS S.A. 
 
Platforma 
Obywatelska RP","Małgorzata 
Wąsowska 
 
 
 
Jan Grabiec","ekspozycja i 
druk reklamy","48732,66",negocjacje,-,61,61
285,-,"29-09-
2023",Warszawa,"01-10-
2023","15-10-
2023","Street Media sp. 
z o.o. 
Platforma 
Obywatelska RP","Dominik 
Morawski 
Piotr Pizoń 
Jan Grabiec","druk i 
ekspozycja 
materiałów","586209,72",negocjacje,-,61,61
286,-,"29-09-
2023",Warszawa,"01-10-
2023","15-10-
2023","Cityboard Media 
Sp. z o.o. 
Platforma 
Obywatelska RP","Marcin Wojda 
Jan Grabiec","druk i 
ekspozycja 
materiałów","592 831,56",negocjacje,-,62,62
287,"108632075
5","29-02-
2023",Warszawa,"01-10-
2023","01-10-
2023","Powszechny 
Zakład 
Ubezpieczeń 
Spółka Akcyjna 
 
Platforma 
Obywatelska RP","Anna Foks 
 
Jan Grabiec","ubezpieczenie 
OC 
organizatora","297,59",negocjacje,-,62,62
288,-,"29-09-
2023",Warszawa,"01-10-
2023","15-10-
2023","True Story 
Media 
Platforma 
Obywatelska RP","Anna 
Gościniak 
Jan Grabiec","druk i 
ekspozycja 
materiałów","603972,63",negocjacje,-,62,62
289,-,"29-09-
2023",Warszawa,"01-10-
2023","15-10-
2023","True Story 
Media 
Platforma 
Obywatelska RP","Anna 
Gościniak 
Jan Grabiec","druk i 
ekspozycja 
materiałów","186 285,37",negocjacje,-,62,62
290,-,"29-09-
2023",Warszawa,"01-10-
2023","15-10-
2023","Mini Media sp. z 
o.o. 
Platforma 
Obywatelska RP","Marcin 
Gromnicki 
Jan Grabiec","druk i 
ekspozycja 
materiałów","308907,12",negocjacje,-,62,62
291,"3488/C/20
23","02-10-
2023",Warszawa,"01-10-
2023","15-10-
2023","AMS S.A. 
 
Platforma 
Obywatelska RP","Małgorzata 
Wąsowska 
 
 
 
Jan Grabiec","ekspozycja i 
druk reklamy","28128,07",negocjacje,-,63,63
292,"3498/C/20
23","02-10-
2023",Warszawa,"03-10-
2023","13-10-
2023","AMS S.A. 
Platforma 
Obywatelska RP","Małgorzata 
Wiśniewska 
 
 
Jan Grabiec","e
misja reklam","6131,55",negocjacje,-,63,63
293,-,"03-10-
2023",Warszawa,"04-10-
2023","15-10-
2023","True Story 
Media 
Platforma 
Obywatelska RP","Anna 
Gościniak 
Jan Grabiec","druk i 
ekspozycja 
materiałów","725458,69",negocjacje,-,63,63
294,"3502/C/20
23","03-10-
2023",Warszawa,"09-10-
2023","13-10-
2023","AMS S.A. 
 
Platforma 
Obywatelska RP","Małgorzata 
Wiśniewska 
 
 
 
Jan Grabiec","e
misja reklam","8483,31",negocjacje,-,63,63
295,"Aneks do 
umowy z 
dnia 
10.08.2024","09-10-
2023",Warszawa,"09-10-
2023","09-10-
2023","KKW Koalicja 
Obywatelska PO 
.N iPL ZIELONI 
Platforma 
Obywatelska RP","Łukasz 
Pawełek 
 
Jan Grabiec","dodatkowe 
biuro",-,negocjacje,-,63,63
296,-,"10-10-
2023",Sopot,"11-10-
2023","10-01-
2024","Gmina Miasta 
Sopot 
 
 
Platforma 
Obywatelska RP","Magdalena 
Czarzyńska-
Jachim 
Jolanta 
Stelmasiewicz 
 
Jan Grabiec",najem lokalu,"985,12+opła
ty",negocjacje,-,64,64
297,"Aneks do 
umowy z 
dnia 
10.10.2023","13-10-
2023",Sopot,"11-10-
2023","10-01-
2024","Gmina Miasta 
Sopot 
 
 
Platforma 
Obywatelska RP","Magdalena 
Czarzyńska-
Jachim 
Jolanta 
Stelmasiewicz 
 
Jan Grabiec","sprostowanie 
omyłki 
pisarskiej",-,negocjacje,-,64,64
298,-,"13-10-
2023",Warszawa,"13-10-
2023",-,"Poseł na Sejm 
RP  
Jacek Karnowski  
 
 
Platforma 
Obywatelska RP","Poseł na Sejm 
RP  
Jacek 
Karnowski  
 
 
Jan Grabiec","umowa 
użyczenia 
lokalu","art. 24 ust. 5 
upp",negocjacje,"czas trwania 
-umowy: 10-
01-2024-
zakończenie 
najmu lokalu",64,64
299,"207/2023/
TA","19-10-
2023",Warszawa,"23-10-
2023","23-10-
2023","Muzeum  
Gdańska 
Platforma 
Obywatelska RP","Waldemar 
Ossowski 
Jan Grabiec","najem 
pomieszczeni
a","2755,20",negocjacje,-,64,64
300,428/2023,"27-10-
2023",Warszawa,"27-10-
2023","27-10-
2023","Miasto Stołeczne 
Warszawa 
Platforma 
Obywatelska RP","Monika 
Gołębiewska- 
Kozakiewicz 
 
 
 
Jan Grabiec","dzierżawa 
nieruchomośc
i","2460,00",negocjacje,-,64,64
301,-,"27-10-
2023",Warszawa,"27-10-
2023","30-10-
2023","Opinia24 
Sp.zo.o. 
 
Platforma 
Obywatelska RP","Michał 
Kluczek 
 
 
Jan Grabiec","ekspertyza 
społeczno-
polityczna","12054,00",negocjacje,-,65,65
302,"P/00343/2
023","27-10-
2023",Warszawa,"01-12-
2023","Czas 
nieokreślo
ny","Robotnicza 
Spółdzielnia 
Mieszkaniowa 
„Praga” 
 
Platforma 
Obywatelska RP","Anna Dobosz 
Wiesław 
Długozima 
 
Jan Grabiec",najem lokalu,"222,95 
miesięcznie",negocjacje,-,65,65
